Category,State/Union Territory,No. of working factories submitting returns - 2007,No. of working factories submitting returns - 2008,No. of working factories submitting returns - 2009,No. of working factories submitting returns - 2010,No. of working factories submitting returns - 2011,No. of working factories submitting returns - 2012,Average daily number of workers - Adults - Men - 2007,Average daily number of workers - Adults - Men - 2008,Average daily number of workers - Adults - Men - 2009,Average daily number of workers - Adults - Men - 2010,Average daily number of workers - Adults - Men - 2011,Average daily number of workers - Adults - Men - 2012,Average daily number of workers - Adults - Women - 2007,Average daily number of workers - Adults - Women - 2008,Average daily number of workers - Adults - Women - 2009,Average daily number of workers - Adults - Women - 2010,Average daily number of workers - Adults - Women - 2011,Average daily number of workers - Adults - Women - 2012,Average daily number of workers - Adolescents - Males - 2007,Average daily number of workers - Adolescents - Males - 2008,Average daily number of workers - Adolescents - Males - 2009,Average daily number of workers - Adolescents - Males - 2010,Average daily number of workers - Adolescents - Males - 2011,Average daily number of workers - Adolescents - Males - 2012,Average daily number of workers - Adolescents - Females - 2007,Average daily number of workers - Adolescents - Females - 2008,Average daily number of workers - Adolescents - Females - 2009,Average daily number of workers - Adolescents - Females - 2010,Average daily number of workers - Adolescents - Females - 2011,Average daily number of workers - Adolescents - Females - 2012,Average daily number of workers - Children - Boys - 2007,Average daily number of workers - Children - Boys - 2008,Average daily number of workers - Children - Boys - 2009,Average daily number of workers - Children - Boys - 2010,Average daily number of workers - Children - Boys - 2011,Average daily number of workers - Children - Boys - 2012,Average daily number of workers - Children - Girls - 2007,Average daily number of workers - Children - Girls - 2008,Average daily number of workers - Children - Girls - 2009,Average daily number of workers - Children - Girls - 2010,Average daily number of workers - Children - Girls - 2011,Average daily number of workers - Children - Girls - 2012,Total - 2007,Total - 2008,Total - 2009,Total - 2010,Total - 2011,Total - 2012
State,Andhra Pradesh,9586,9756,10248,10705,11625,11962,378629,410641,452848,475765,510933,537301,60608,60429,71863,73789,78480,95207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,439237,471070,524711,549554,589413,632508
State,Assam,339,336,337,342,360,349,33466,3268,30543,32738,37560,32951,2843,3093,3129,3547,1267,4009,113,55,247,123,NA,33,330,177,158,152,NA,89,24,91,253,45,NA,NA,25,180,156,31,NA,NA,36801,35864,34786,36636,38827,37082
State,Bihar,69,115,68,98,134,85,12132,13503,8730,12806,10018,9278,63,53,49,22,56,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12195,13556,8779,12828,10074,9302
State,Chhattisgarh,NA,NA,NA,349,341,387,NA,NA,NA,104191,90078,100086,NA,NA,NA,3537,2424,2843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107728,92502,102929
State,Goa,532,428,562,529,537,584,35199,37218,48184,46068,49659,55575,7510,6987,9169,8502,8744,10817,NA,NA,73,NA,2,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42709,44205,57426,54570,58453,66392
State,Gujarat,NA,NA,NA,5419,5614,NA,NA,NA,NA,319303,338369,NA,NA,NA,NA,19916,19850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,339219,358219,NA
State,Haryana,1128,1257,1239,1023,966,1332,141648,145703,167708,137861,139631,172546,5934,8593,9670,6922,9357,11906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147582,154306,177378,144783,148988,184452
State,Himachal Pradesh,NA,NA,NA,NA,1345,NA,NA,NA,NA,NA,96573,NA,NA,NA,NA,NA,8588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105161,NA
State,Jammu & Kashmir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Jharkhand,5675,5829,NA,84,85,NA,210093,299955,NA,84885,66564,NA,2752,4804,NA,3009,2448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212845,304759,NA,87894,69012,NA
