,India/State/Union Territory,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0,ANDHRA PRADESH,76210007,77047084,77884161,78721238,79558315,80395392,81232469,82069546,82906623,83743700,84580777
1,ARUNACHAL PRADESH,1097968,1126543,1155118,1183693,1212268,1240843,1269418,1297993,1326568,1355143,1383727
2,ASSAM,26655528,27110532,27565536,28020540,28475544,28930548,29385552,29840556,30295560,30750564,31205576
3,BIHAR,82998509,85108603,87218697,89328791,91438885,93548979,95659073,97769167,99879261,101989355,104099452
4,CHHATTISGARH,20833803,21304942,21776081,22247220,22718359,23189498,23660637,24131776,24602915,25074054,25545198
5,DELHI,13850507,14144250,14437993,14731736,15025479,15319222,15612965,15906708,16200451,16494194,16787941
6,GOA,1347668,1358755,1369842,1380929,1392016,1403103,1414190,1425277,1436364,1447451,1458545
7,GUJARAT,50671017,51647884,52624751,53601618,54578485,55555352,56532219,57509086,58485953,59462820,60439692
8,HARYANA,21144564,21565253,21985942,22406631,22827320,23248009,23668698,24089387,24510076,24930765,25351462
9,HIMACHAL PRADESH,6077900,6156570,6235240,6313910,6392580,6471250,6549920,6628590,6707260,6785930,6864602
10,JAMMU & KASHMIR,10143700,10383460,10623220,10862980,11102740,11342500,11582260,11822020,12061780,12301540,12541302
11,JHARKHAND,26945829,27550059,28154289,28758519,29362749,29966979,30571209,31175439,31779669,32383899,32988134
12,KARNATAKA,52850562,53675035,54499508,55323981,56148454,56972927,57797400,58621873,59446346,60270819,61095297
13,KERALA,31841374,31997842,32154310,32310778,32467246,32623714,32780182,32936650,33093118,33249586,33406061
14,MADHYA PRADESH,60348023,61575901,62803779,64031657,65259535,66487413,67715291,68943169,70171047,71398925,72626809
15,MAHARASHTRA,96878627,98428197,99977767,101527337,103076907,104626477,106176047,107725617,109275187,110824757,112374333
16,MANIPUR,2293896,2350085,2406274,2462463,2518652,2574841,2631030,2687219,2743408,2799597,2855794
17,MEGHALAYA,2318822,2383628,2448434,2513240,2578046,2642852,2707658,2772464,2837270,2902076,2966889
18,MIZORAM,888573,909436,930299,951162,972025,992888,1013751,1034614,1055477,1076340,1097206
19,NAGALAND,1990036,1988883,1987730,1986577,1985424,1984271,1983118,1981965,1980812,1979659,1978502
20,ODISHA,36804660,37321615,37838570,38355525,38872480,39389435,39906390,40423345,40940300,41457255,41974218
21,PUNJAB,24358999,24697432,25035865,25374298,25712731,26051164,26389597,26728030,27066463,27404896,27743338
22,RAJASTHAN,56507188,57711312,58915436,60119560,61323684,62527808,63731932,64936056,66140180,67344304,68548437
23,SIKKIM,540851,547823,554795,561767,568739,575711,582683,589655,596627,603599,610577
24,TAMIL NADU,62405679,63379814,64353949,65328084,66302219,67276354,68250489,69224624,70198759,71172894,72147030
25,TRIPURA,3199203,3246674,3294145,3341616,3389087,3436558,3484029,3531500,3578971,3626442,3673917
26,UTTAR PRADESH,166197921,169559363,172920805,176282247,179643689,183005131,186366573,189728015,193089457,196450899,199812341
27,UTTARAKHAND,8489349,8649043,8808737,8968431,9128125,9287819,9447513,9607207,9766901,9926595,10086292
28,WEST BENGAL,80176197,81286188,82396179,83506170,84616161,85726152,86836143,87946134,89056125,90166116,91276115
29,A & N ISLANDS,356152,358594,361036,363478,365920,368362,370804,373246,375688,378130,380581
30,CHANDIGARH,900635,916116,931597,947078,962559,978040,993521,1009002,1024483,1039964,1055450
31,D & N HAVELI,220490,232811,245132,257453,269774,282095,294416,306737,319058,331379,343709
32,DAMAN & DIU,158204,166708,175212,183716,192220,200724,209228,217732,226236,234740,243247
33,LAKSHADWEEP,60650,61032,61414,61796,62178,62560,62942,63324,63706,64088,64473
34,PUDUCHERRY,974345,1001705,1029065,1056425,1083785,1111145,1138505,1165865,1193225,1220585,1247953
