Sl.No,State,2016-17,2017-18 (Upto Dec'2017)
1,Andhra Pradesh,0,0
2,Assam,20141,23820
3,Bihar,189148,99833
4,Chhattisgarh,26471,25493
5,Goa,0,0
6,Gujarat,23599,73141
7,Jharkhand,45971,29502
8,Karnataka,3809,891
9,Kerala,10944,2183
10,Madhya Pradesh,42600,30709
11,Maharashtra,21743,52383
12,Odisha,12793,13148
13,Rajasthan,24336,16029
14,Tamil Nadu,15171,8692
15,Telengana,0,0
16,Uttar Pradesh,21014,14785
17,West Bengal,25172,176430
18,Haryana,3508,4015
19,Himachal Pradesh,973,670
20,Jammu and Kashmir,8547,3912
21,Punjab,1913,1864
22,Uttarakhand,2471,4186
23,Arunachal Pradesh,169,671
24,Manipur,458,597
25,Meghalaya,1173,1274
26,Mizoram,1261,993
27,Nagaland,1216,557
28,Sikkim,826,336
29,Tripura,1671,1420
30,Puducherry,0,0
Total,Total,507098,587534
