State/UTs,2009-10 (in %),2011-12 (in %)
Andhra Pradesh,1.6,2
Arunachal Pradesh,1.6,2.2
Assam,4,4.6
Bihar,2.6,3.4
Chhattisgarh,0.9,1.4
Delhi,2.6,3.8
Goa,4.6,4.9
Gujarat,1.1,0.5
Haryana,2,2.9
Himachal Pradesh,1.8,1.3
Jammu & Kashmir,3.2,3.4
Jharkhand,4.3,2.6
Karnataka,1.2,1.6
Kerala,7.4,6.6
Madhya Pradesh,1.1,0.9
Maharashtra,1.5,1.3
Manipur,4,3.7
Meghalaya,1,0.8
Mizoram,1.9,3.2
Nagaland,10.3,17.7
Orissa,3.1,2.4
Punjab,3.3,2.2
Rajasthan,0.7,1.2
Sikkim,3.9,1.2
Tamil Nadu,2.2,2.3
Tripura,10.4,12.8
Uttarakhand,1.9,3.1
Uttar Pradesh,1.4,1.6
West Bengal,2.4,3.3
Andaman & Nicobar Islands,8.2,6.5
Chandigarh,8,6
Dadra & Nagar Haveli,5,0
Daman & Diu,5,0.1
Lakshadweep,7.9,13.8
Puducherry,3.1,2.1
All-India,2,2.2
